"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,Date,Tests/1M pop ,"Country	""Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious""	""Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent"""
Brunei,140182.0,159.0,218.0,,138693.0,290.0,1271.0,,315019.0,490.0,717784.0,1613016.0,444995.0,Asia,2022-04-18,,
Guadeloupe,140130.0,,854.0,,2250.0,,137026.0,19.0,350109.0,2134.0,938039.0,2343650.0,400247.0,North America,2022-04-18,,
Cambodia,136076.0,16.0,3055.0,,132789.0,20.0,232.0,,7942.0,178.0,2942234.0,171718.0,17134059.0,Asia,2022-04-18,,
Rwanda,129758.0,,1458.0,,45522.0,,82778.0,1.0,9592.0,108.0,5196697.0,384145.0,13527959.0,Africa,2022-04-18,,
Jamaica,129281.0,43.0,2931.0,2.0,82613.0,87.0,43737.0,,43320.0,982.0,969465.0,324849.0,2984357.0,North America,2022-04-18,,
Cameroon,119780.0,,1927.0,,117791.0,,62.0,13.0,4319.0,69.0,1751774.0,63171.0,27730780.0,Africa,2022-04-18,,
Angola,99194.0,,1900.0,,97149.0,,145.0,,2859.0,55.0,1499795.0,43223.0,34699115.0,Africa,2022-04-18,,
Malta,89028.0,199.0,677.0,2.0,80802.0,494.0,7549.0,4.0,200670.0,1526.0,1859492.0,4191321.0,443653.0,Europe,2022-04-18,,
DRC,87023.0,,1337.0,,50930.0,,34756.0,,921.0,14.0,846704.0,8965.0,94442912.0,Africa,2022-04-18,,
Senegal,85971.0,3.0,1965.0,,83985.0,4.0,21.0,1.0,4903.0,112.0,1059624.0,60429.0,17535106.0,Africa,2022-04-18,,
Malawi,85728.0,,2632.0,1.0,81915.0,,1181.0,67.0,4283.0,131.0,569074.0,28430.0,20016335.0,Africa,2022-04-18,,
Ivory Coast,81861.0,4.0,797.0,,81026.0,3.0,38.0,,2971.0,29.0,1489194.0,54055.0,27549595.0,Africa,2022-04-18,,
French Guiana,80035.0,,394.0,,11254.0,,68387.0,2.0,256060.0,1261.0,618263.0,1978036.0,312564.0,South America,2022-04-18,,
Suriname,79276.0,,1325.0,,49395.0,,28556.0,,132999.0,2223.0,235707.0,395440.0,596063.0,South America,2022-04-18,,
French Polynesia,72596.0,,648.0,,,,,7.0,255780.0,2283.0,,,283822.0,Australia/Oceania,2022-04-18,,
Channel Islands,72328.0,,165.0,,70327.0,,1836.0,,409239.0,934.0,1252808.0,7088504.0,176738.0,Europe,2022-04-18,,
Eswatini,70102.0,,1395.0,,68675.0,12.0,32.0,11.0,59322.0,1180.0,1010362.0,854996.0,1181716.0,Africa,2022-04-18,,
Barbados,64794.0,164.0,386.0,2.0,61190.0,250.0,3218.0,,224974.0,1340.0,632869.0,2197416.0,288006.0,North America,2022-04-18,,
Fiji,64513.0,,862.0,,62672.0,10.0,979.0,,71042.0,949.0,506281.0,557517.0,908100.0,Australia/Oceania,2022-04-18,,
Madagascar,64121.0,,1391.0,,59370.0,,3360.0,14.0,2214.0,48.0,418849.0,14459.0,28967507.0,Africa,2022-04-18,,
Guyana,63371.0,3.0,1228.0,,62049.0,,94.0,1.0,79877.0,1548.0,583469.0,735439.0,793362.0,South America,2022-04-18,,
Sudan,62057.0,,4929.0,,,,,,1358.0,108.0,562941.0,12322.0,45685261.0,Africa,2022-04-18,,
New Caledonia,60385.0,,312.0,,60011.0,,62.0,9.0,207922.0,1074.0,98964.0,340759.0,290422.0,Australia/Oceania,2022-04-18,,
Mauritania,58683.0,2.0,982.0,,57693.0,4.0,8.0,,12053.0,202.0,795899.0,163469.0,4868804.0,Africa,2022-04-18,,
Belize,57331.0,,672.0,,56473.0,,186.0,6.0,139636.0,1637.0,529581.0,1289849.0,410576.0,North America,2022-04-18,,
Cabo Verde,55991.0,1.0,401.0,,55525.0,2.0,65.0,23.0,98781.0,707.0,400982.0,707423.0,566821.0,Africa,2022-04-18,,
Syria,55778.0,5.0,3150.0,,52020.0,17.0,608.0,,3054.0,172.0,146269.0,8009.0,18263019.0,Asia,2022-04-18,,
Bhutan,53104.0,308.0,18.0,,45038.0,2198.0,8048.0,14.0,67489.0,23.0,2250758.0,2860463.0,786851.0,Asia,2022-04-18,,
Gabon,47594.0,,303.0,,47280.0,,11.0,,20515.0,131.0,1591228.0,685900.0,2319914.0,Africa,2022-04-18,,
Papua New Guinea,43663.0,3.0,649.0,,42954.0,8.0,60.0,7.0,4720.0,70.0,249149.0,26932.0,9251011.0,Australia/Oceania,2022-04-18,,
Seychelles,41660.0,,164.0,,40675.0,,821.0,,418950.0,1649.0,,,99439.0,Africa,2022-04-18,,
Curaçao,41652.0,,271.0,,40800.0,,581.0,3.0,251983.0,1639.0,494095.0,2989135.0,165297.0,North America,2022-04-18,,
Andorra,40709.0,,153.0,,39999.0,,557.0,14.0,525366.0,1975.0,249838.0,3224257.0,77487.0,Europe,2022-04-18,,
Burundi,38722.0,,38.0,,773.0,,37911.0,,3091.0,3.0,345742.0,27603.0,12525704.0,Africa,2022-04-18,,
Mauritius,37391.0,40.0,985.0,,35417.0,219.0,989.0,,29314.0,772.0,358675.0,281191.0,1275555.0,Africa,2022-04-18,,
Mayotte,37038.0,,187.0,,2964.0,,33887.0,,130132.0,657.0,176919.0,621599.0,284619.0,Africa,2022-04-18,,
Togo,36967.0,4.0,273.0,,36679.0,7.0,15.0,,4285.0,32.0,726223.0,84183.0,8626677.0,Africa,2022-04-18,,
Guinea,36459.0,,440.0,,35976.0,,43.0,8.0,2647.0,32.0,660107.0,47933.0,13771510.0,Africa,2022-04-18,,
Taiwan,35983.0,1480.0,854.0,,22042.0,,13087.0,,1506.0,36.0,13765868.0,576119.0,23894120.0,Asia,2022-04-18,,
Faeroe Islands,34658.0,,28.0,,7693.0,,26937.0,5.0,704488.0,569.0,778000.0,15814294.0,49196.0,Europe,2022-04-18,,
Aruba,34345.0,,212.0,,34038.0,,95.0,2.0,319254.0,1971.0,177885.0,1653529.0,107579.0,North America,2022-04-18,,
Tanzania,33851.0,,803.0,,,,,7.0,539.0,13.0,,,62784774.0,Africa,2022-04-18,,
Bahamas,33411.0,20.0,789.0,,32271.0,12.0,351.0,11.0,83530.0,1973.0,229817.0,574563.0,399986.0,North America,2022-04-18,,
Lesotho,32910.0,,697.0,,24155.0,,8058.0,,15147.0,321.0,431221.0,198471.0,2172719.0,Africa,2022-04-18,,
Mali,30669.0,11.0,729.0,,29763.0,5.0,177.0,,1440.0,34.0,660646.0,31021.0,21296609.0,Africa,2022-04-18,,
Haiti,30594.0,,835.0,,29176.0,,583.0,,2626.0,72.0,132422.0,11365.0,11651908.0,North America,2022-04-18,,
